id,latitude,longitude,name,type,pm25,color,url,label,approx
3857,-35.435143,-71.67826,[Chile - SINCA] La Florida (PM2.5=32),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,30
3858,45.3235,-118.0778,[AirNow] La Grande Hall & N S (PM2.5=29.8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,30
3859,-40.286858,-73.07671,[Chile - SINCA] La Union (PM2.5=75.99),OpenAQ (3235),3,004400,https://openaq.org/,[OpenAQ] ,80
3860,47.0293,-122.8215,[AirNow] Lacey-College St (PM2.5=29.8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,30
3861,46.8153,-117.8739,[AirNow] Lacrosse-Hill St (PM2.5=131.5),OpenAQ (3235),3,004400,https://openaq.org/,[OpenAQ] ,130
3862,38.650257,-90.350464,[AirNow] Ladue (PM2.5=8.2),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3863,30.2258,-92.0428,[AirNow] Lafayette (PM2.5=3.3),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3864,28.82534,78.7213,[caaqm] Lajpat Nagar- Moradabad - UPPCB (PM2.5=55),OpenAQ (3235),2,004400,https://openaq.org/,[OpenAQ] ,60
3865,30.1783,-82.6192,[AirNow] Lake City (PM2.5=8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3866,33.676537,-117.331024,[AirNow] Lake Elsinore - W. F (PM2.5=17.6),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,20
3867,47.755,-122.2806,[AirNow] Lake Forest Park-Tow (PM2.5=53.7),OpenAQ (3235),2,004400,https://openaq.org/,[OpenAQ] ,50
3868,40.6933,-92.0061,[AirNow] Lake Sugema (PM2.5=9),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3869,42.189217,-120.353966,[AirNow] Lakeview - Center & (PM2.5=56.3),OpenAQ (3235),2,004400,https://openaq.org/,[OpenAQ] ,60
3870,44.706123,-93.285805,[AirNow] Lakeville - Near Roa (PM2.5=11),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3871,26.84588,80.936554,[caaqm] Lalbagh- Lucknow - CPCB (PM2.5=44.18),OpenAQ (3235),1,004400,https://openaq.org/,[OpenAQ] ,40
3872,47.7889,-116.8044,[AirNow] Lancaster (PM2.5=177),OpenAQ (3235),3,004400,https://openaq.org/,[OpenAQ] ,180
3873,34.66959,-118.13069,[AirNow] Lancaster-Division (PM2.5=12),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3874,37.793625,-122.263374,[AirNow] Laney College (PM2.5=38),OpenAQ (3235),1,004400,https://openaq.org/,[OpenAQ] ,40
3875,49.4417,-123.4917,[AirNow] Langdale Elementary (PM2.5=35),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,40
3876,46.3972,-116.8062,[AirNow] Lapwai-ID (PM2.5=10.6),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3877,41.169724,-85.62944,[AirNow] Larwill (PM2.5=6.8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3878,-33.376774,-70.52332,[Chile - SINCA] Las Condes (PM2.5=25),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,30
3879,32.310333,-106.75121,[AirNow] Las Cruces ED (PM2.5=2),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3880,-38.7487,-72.62079,[Chile - SINCA] Las Encinas Temuco (PM2.5=569),OpenAQ (3235),3,004400,https://openaq.org/,[OpenAQ] ,570
3881,41.53143,12.946064,[ARPALAZIO] Latina-Scalo (PM2.5=8),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3882,26.2992,-81.72,[AirNow] Laurel Oaks Elementa (PM2.5=4.7),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3883,40.4656,-79.9611,[AirNow] Lawrenceville (PM2.5=12),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
3884,34.633,-98.4288,[AirNow] Lawton North (PM2.5=2.4),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,0
3885,49.50017,0.11090331,[EEA France] Le Havre Lafaurie-montant (PM2.5=11.75),OpenAQ (3235),0,004400,https://openaq.org/,[OpenAQ] ,10
